year,city,quantidade_registros,area_ha_total
2022,TREZE TILIAS,1,0.5384
2022,TUNAPOLIS,7,7.3688
2022,UNIAO DO OESTE,4,4.3743
2022,URUSSANGA,4,6.2738
2022,VARGEAO,4,2.3309
2022,VARGEM,13,132.8083
2022,VARGEM BONITA,4,3.2176
2022,VIDAL RAMOS,8,22.0601
2022,VIDEIRA,1,0.5056
2022,VITOR MEIRELES,3,2.7086
2022,WITMARSUM,1,1.0777
2022,XANXERE,4,2.7268
2022,XAVANTINA,2,1.9284
2022,XAXIM,4,6.4687
2023,ABDON BATISTA,1,1.389
2023,AGUA DOCE,4,30.2975
2023,AGUAS DE CHAPECO,1,0.8774
2023,AGUAS FRIAS,1,1.9471
2023,AGUAS MORNAS,4,3.2272
2023,ALFREDO WAGNER,8,15.6879
2023,ALTO BELA VISTA,3,1.3339
2023,ANGELINA,7,7.0317
2023,ANITA GARIBALDI,3,6.6211
2023,ANITAPOLIS,2,1.022
2023,ANTONIO CARLOS,2,1.5466
2023,ARABUTA,1,1.0145
2023,ARAQUARI,3,13.9673
2023,ARARANGUA,1,0.659
2023,ARMAZEM,2,3.6492
2023,ARROIO TRINTA,1,2.1332
2023,AURORA,2,5.6738
2023,BANDEIRANTE,2,0.8253
2023,BARRA BONITA,1,1.2267
2023,BARRA VELHA,1,2.6142
2023,BELA VISTA DO TOLDO,1,1.0048
2023,BENEDITO NOVO,3,12.8245
2023,BIGUACU,1,0.321
2023,BLUMENAU,2,1.9245
2023,BOCAINA DO SUL,2,3.4253
2023,BOM JARDIM DA SERRA,2,1.5934
2023,BOM JESUS DO OESTE,2,1.7687
2023,BOM RETIRO,4,6.5662
2023,BOTUVERA,1,1.384
2023,BRACO DO NORTE,1,0.7626
2023,BRACO DO TROMBUDO,1,0.7227
2023,BRUNOPOLIS,1,1.7449
2023,BRUSQUE,3,5.9629
2023,CACADOR,4,22.9107
2023,CAIBI,4,4.9916
2023,CALMON,1,3.8012
2023,CAMPO ALEGRE,2,3.0247
2023,CAMPO BELO DO SUL,3,1.6833
2023,CAMPO ERE,2,2.6527
2023,CAMPOS NOVOS,6,9.28
2023,CANOINHAS,5,11.8037
2023,CAPAO ALTO,1,2.0121
2023,CAPINZAL,2,2.5691
2023,CATANDUVAS,1,0.4629
2023,CELSO RAMOS,2,1.2764
2023,CERRO NEGRO,2,3.3858
2023,CHAPADAO DO LAGEADO,1,0.7008
2023,CHAPECO,2,4.2702
2023,CONCORDIA,13,12.8799
2023,CORONEL FREITAS,1,0.7002
2023,CORONEL MARTINS,1,0.3819
2023,CORREIA PINTO,2,1.813
2023,CRICIUMA,2,2.6799
2023,CUNHA PORA,3,2.4903
2023,CUNHATAI,1,0.9875
2023,CURITIBANOS,2,1.2751
2023,DESCANSO,3,2.7156
2023,DIONISIO CERQUEIRA,1,0.744
2023,DONA EMMA,1,1.1314
2023,ERVAL VELHO,3,4.2401
2023,FORMOSA DO SUL,1,0.5116
2023,FRAIBURGO,3,7.535
2023,FREI ROGERIO,2,1.2282
2023,GALVAO,3,2.8184
2023,GARUVA,3,9.373
2023,GRAO-PARA,4,2.7251
2023,GUABIRUBA,3,2.1803
2023,GUARACIABA,5,4.0311
2023,GUARAMIRIM,1,0.9467
2023,GUARUJA DO SUL,2,1.7113
2023,IBIAM,1,0.3165
2023,IBICARE,1,2.3906
2023,IBIRAMA,2,3.7228
2023,ICARA,3,7.4275
2023,IMARUI,1,0.3216
2023,IMBUIA,1,1.0795
2023,INDAIAL,4,7.2757
2023,IOMERE,1,0.5296
2023,IPIRA,4,3.4836
2023,IPORA DO OESTE,5,6.8499
2023,IPUMIRIM,6,6.382
2023,IRACEMINHA,2,2.7004
2023,IRANI,3,3.1171
2023,ITA,1,0.788
2023,ITAIOPOLIS,9,22.456
2023,ITAJAI,2,4.9242
2023,ITAPEMA,1,0.6327
2023,ITAPIRANGA,2,2.3602
2023,ITUPORANGA,6,10.0825
2023,JABORA,3,3.8804
2023,JARAGUA DO SUL,2,5.6015
2023,JARDINOPOLIS,1,0.7731
2023,JOACABA,1,0.9341
2023,JOINVILLE,1,0.734
2023,LACERDOPOLIS,1,0.6171
2023,LAGES,7,17.4205
2023,LEBON REGIS,5,16.5796
2023,LEOBERTO LEAL,6,4.526
2023,LINDOIA DO SUL,2,2.09
2023,LUZERNA,1,0.5276
2023,MACIEIRA,1,3.9605
2023,MAFRA,8,15.8546
2023,MAJOR GERCINO,2,1.5033
2023,MAJOR VIEIRA,1,1.751
2023,MARACAJA,1,0.8918
2023,MIRIM DOCE,1,1.5077
2023,MODELO,1,0.3491
2023,MONDAI,2,1.716
2023,MONTE CARLO,1,0.4891
2023,MONTE CASTELO,1,1.7725
2023,MORRO DA FUMACA,1,0.9786
2023,NOVA ERECHIM,1,0.3831
2023,NOVA ITABERABA,1,0.3967
2023,NOVO HORIZONTE,1,1.2797
2023,ORLEANS,12,17.7261
2023,OTACILIO COSTA,3,5.9105
2023,OURO,6,7.7064
2023,OURO VERDE,1,1.0237
2023,PALHOCA,1,1.2812
2023,PALMA SOLA,1,1.2898
2023,PALMEIRA,3,13.0672
2023,PALMITOS,1,1.458
2023,PAPANDUVA,2,1.2162
2023,PARAISO,4,4.0494
2023,PASSOS MAIA,7,9.6402
2023,PEDRAS GRANDES,1,0.5795
2023,PERITIBA,3,4.1802
2023,PETROLANDIA,4,6.246
2023,PLANALTO ALEGRE,1,0.2357
2023,PONTE ALTA,3,4.7772
2023,PONTE ALTA DO NORTE,2,4.3899
2023,PONTE SERRADA,1,1.2623
2023,PORTO UNIAO,1,0.8146
2023,PRESIDENTE CASTELLO BRANCO,3,2.2835
2023,PRESIDENTE GETULIO,6,6.8632
2023,QUILOMBO,6,6.1161
2023,RIO DO CAMPO,1,1.1417
2023,RIO DOS CEDROS,2,1.9565
2023,RIO FORTUNA,4,3.6893
2023,RIO NEGRINHO,3,3.841
2023,RIQUEZA,4,11.9915
2023,RODEIO,2,16.4355
2023,ROMELANDIA,2,2.2335
2023,SANTA CECILIA,3,5.6026
2023,SANTA ROSA DE LIMA,1,0.6095
2023,SANTA ROSA DO SUL,1,1.7186
2023,SANTA TEREZINHA,6,7.7793
2023,SANTA TEREZINHA DO PROGRESSO,2,1.2033
2023,SAO BENTO DO SUL,2,2.2038
2023,SAO BONIFACIO,4,4.9053
2023,SAO CARLOS,1,1.8585
2023,SAO CRISTOVAO DO SUL,1,0.7035
2023,SAO DOMINGOS,3,2.5847
2023,SAO FRANCISCO DO SUL,1,0.4464
2023,SAO JOAO BATISTA,3,12.8644
