year,city,quantidade_total_uc,area_total_desmat
2023,PONTE SERRADA,0,1.2623
2023,PORTO UNIAO,3,0.8146
2023,PRESIDENTE CASTELLO BRANCO,0,2.2835
2023,PRESIDENTE GETULIO,0,6.8632
2023,QUILOMBO,0,6.1161
2023,RIO DO CAMPO,0,1.1417
2023,RIO DOS CEDROS,0,1.9565
2023,RIO FORTUNA,0,3.6893
2023,RIO NEGRINHO,4,3.841
2023,RIQUEZA,0,11.9915
2023,RODEIO,0,16.4355
2023,ROMELANDIA,0,2.2335
2023,SANTA CECILIA,0,5.6026
2023,SANTA ROSA DE LIMA,1,0.6095
2023,SANTA ROSA DO SUL,0,1.7186
2023,SANTA TEREZINHA,0,7.7793
2023,SANTA TEREZINHA DO PROGRESSO,0,1.2033
2023,SAO BENTO DO SUL,3,2.2038
2023,SAO BONIFACIO,0,4.9053
2023,SAO CARLOS,0,1.8585
2023,SAO CRISTOVAO DO SUL,0,0.7035
2023,SAO DOMINGOS,1,2.5847
2023,SAO FRANCISCO DO SUL,3,0.4464
